land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
FESI,,,subbasin == 1,,fertilizer,orgN,,,29.072272045304867,0,,,,
FESI,,,subbasin == 2,,fertilizer,orgN,,,27.95920817498803,0,,,,
FESI,,,subbasin == 3,,fertilizer,orgN,,,29.759825192183712,0,,,,
FESI,,,subbasin == 4,,fertilizer,orgN,,,29.463984401711482,0,,,,
FESI,,,subbasin == 5,,fertilizer,orgN,,,29.350788277907064,0,,,,
FESI,,,,,fertilizer,Elem-P,,,7,0,,,,
FESI,,,,"(md > 0510) * (md < 0520) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESI,,,subbasin == 1,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,1.8467016280210673,0,,,,
FESI,,,subbasin == 2,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0.7768627828865938,0,,,,
FESI,,,subbasin == 3,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,2.040778186021239,0,,,,
FESI,,,subbasin == 4,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,1.5691249900221305,0,,,,
FESI,,,subbasin == 5,"(md > 0515) * (md < 0530) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,0,0,,,,
FESI,,,subbasin == 1,,fertilizer,orgN,,,29.072272045304867,0,,,,
FESI,,,subbasin == 2,,fertilizer,orgN,,,27.95920817498803,0,,,,
FESI,,,subbasin == 3,,fertilizer,orgN,,,29.759825192183712,0,,,,
FESI,,,subbasin == 4,,fertilizer,orgN,,,29.463984401711482,0,,,,
FESI,,,subbasin == 5,,fertilizer,orgN,,,29.350788277907064,0,,,,
FESI,,,,,fertilizer,Elem-P,,,7,0,,,,
